events_per_sec,exec_ratio,unique_comms,max_files_per_proc,max_chain_depth,session,label
29.4,0.04081632653061224,4.0,48.0,13.0,anomaly_deep_chain_20260802_144425,anomaly
6.3,0.0,3.0,48.0,2.0,anomaly_deep_chain_20260802_144425,anomaly
5.2,0.0,4.0,48.0,2.0,anomaly_deep_chain_20260802_144425,anomaly
5.6,0.0,4.0,48.0,3.0,anomaly_deep_chain_20260802_144425,anomaly
5.8,0.0,4.0,48.0,3.0,anomaly_deep_chain_20260802_144425,anomaly
5.5,0.0,3.0,48.0,2.0,anomaly_deep_chain_20260802_144425,anomaly
4.9,0.0,2.0,48.0,2.0,anomaly_deep_chain_20260802_144425,anomaly
6.4,0.0,4.0,48.0,3.0,anomaly_deep_chain_20260802_144425,anomaly
5.1,0.0,3.0,48.0,2.0,anomaly_deep_chain_20260802_144425,anomaly
5.6,0.0,4.0,48.0,3.0,anomaly_deep_chain_20260802_144425,anomaly
6.0,0.0,4.0,48.0,3.0,anomaly_deep_chain_20260802_144425,anomaly
5.5,0.0,3.0,48.0,2.0,anomaly_deep_chain_20260802_144425,anomaly
2102.4,0.2599410197869102,14.0,353.0,4.0,anomaly_mass_file_scan_20260802_141652,anomaly
4136.7,0.26446201078154086,5.0,276.0,3.0,anomaly_mass_file_scan_20260802_141652,anomaly
4156.6,0.2623297887696675,7.0,625.0,3.0,anomaly_mass_file_scan_20260802_141652,anomaly
4106.0,0.26419873356064294,5.0,326.0,3.0,anomaly_mass_file_scan_20260802_141652,anomaly
4025.0,0.2662360248447205,5.0,48.0,2.0,anomaly_mass_file_scan_20260802_141652,anomaly
3957.3,0.26634321380739395,4.0,48.0,2.0,anomaly_mass_file_scan_20260802_141652,anomaly
4001.1,0.26492714503511533,6.0,203.0,3.0,anomaly_mass_file_scan_20260802_141652,anomaly
3863.1,0.2662110740079211,6.0,48.0,3.0,anomaly_mass_file_scan_20260802_141652,anomaly
3583.5,0.2622296637365704,8.0,538.0,3.0,anomaly_mass_file_scan_20260802_141652,anomaly
5.2,0.0,2.0,48.0,2.0,anomaly_mass_file_scan_20260802_141652,anomaly
8.8,0.0,7.0,48.0,3.0,anomaly_mass_file_scan_20260802_141652,anomaly
7.9,0.0,5.0,48.0,3.0,anomaly_mass_file_scan_20260802_141652,anomaly
769.0,0.13094928478543563,14.0,49.0,3.0,anomaly_rapid_spawn_20260802_141032,anomaly
